Season,Player,Position,Age,Team,TeamID,Years of Service,GP,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB_total,AST_total,STL_total,BLK_total,TOV_total,PF_total,PTS_total,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS_total,DWS_total,WS_total,WS/48,OBPM,DBPM,BPM,VORP_total,Wins,Losses,Salary,Injured,Injury_Periods,Total_Days_Injured,Injury_Risk,Salary Cap,Luxury Tax,1st Apron,BAE,Standard /Non-Taxpayer,Taxpayer,Team Room /Under Cap,Salary_Cap_Inflated
2018-19,Boban Marjanovic,Center,30.0,LAC,1610612746,3.0,36.0,9.0,376.0,85.0,140.0,0.61,0.0,2.0,0.0,85.0,138.0,0.62,0.61,72.0,95.0,0.76,55.0,97.0,152.0,22.0,11.0,17.0,37.0,57.0,242.0,24.2,0.66,14.0,26.9,20.6,12.8,1.1,3.1,15.7,23.3,2.1,0.9,3.0,0.21,2.8,0.3,3.2,0.9,51.0,31.0,9490740.0,True,2019-02-28 - 2019-03-12,12.0,Moderate Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Bobby Portis,Forward,24.0,CHI,1610612741,3.0,22.0,6.0,531.0,122.0,271.0,0.45,27.0,72.0,0.38,95.0,199.0,0.48,0.5,39.0,50.0,0.78,46.0,115.0,161.0,29.0,11.0,8.0,29.0,61.0,310.0,16.1,0.53,9.0,24.9,16.8,8.8,1.3,1.3,9.9,24.6,0.5,1.1,1.6,0.06,-0.2,-2.3,-2.4,-0.1,32.0,50.0,2494346.0,False,Not_injured,0.0,Low Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Bogdan Bogdanovic,Guard,26.0,SAC,1610612758,4.0,70.0,17.0,1947.0,361.0,863.0,0.42,134.0,372.0,0.36,227.0,491.0,0.46,0.5,134.0,162.0,0.83,40.0,203.0,243.0,267.0,72.0,15.0,117.0,142.0,990.0,16.1,0.61,1.5,12.7,7.2,9.5,1.3,0.0,10.2,22.4,3.9,2.8,6.8,0.13,1.3,-0.6,0.7,1.7,39.0,43.0,9000000.0,False,Not_injured,0.0,Low Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Bojan Bogdanovic,Forward,30.0,IND,1610612754,7.0,81.0,81.0,2573.0,522.0,1051.0,0.5,164.0,386.0,0.42,358.0,665.0,0.54,0.57,246.0,305.0,0.81,33.0,300.0,333.0,161.0,69.0,1.0,134.0,138.0,1454.0,16.1,0.61,1.5,12.7,7.2,9.5,1.3,0.0,10.2,22.4,3.9,2.8,6.8,0.13,1.3,-0.6,0.7,1.7,48.0,34.0,10500000.0,False,Not_injured,0.0,Low Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Bonzie Colson,Forward,23.0,MIL,1610612749,0.0,8.0,2.0,98.0,13.0,39.0,0.33,5.0,21.0,0.24,8.0,18.0,0.44,0.4,8.0,9.0,0.89,8.0,22.0,30.0,3.0,5.0,1.0,3.0,3.0,39.0,12.9,0.45,8.8,21.5,15.5,4.0,2.4,0.9,6.5,19.6,0.0,0.2,0.2,0.08,-2.6,-0.8,-3.5,0.0,60.0,22.0,77250.0,False,Not_injured,0.0,Low Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Brad Wanamaker,Guard,29.0,BOS,1610612738,0.0,36.0,0.0,343.0,50.0,105.0,0.48,16.0,39.0,0.41,34.0,66.0,0.52,0.55,24.0,28.0,0.86,3.0,38.0,41.0,56.0,12.0,2.0,19.0,34.0,140.0,14.4,0.6,0.9,11.8,6.4,22.5,1.7,0.5,13.9,17.2,0.6,0.4,0.9,0.13,-1.3,0.7,-0.7,0.1,49.0,33.0,838464.0,False,Not_injured,0.0,Low Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Bradley Beal,Guard,26.0,WAS,1610612764,6.0,82.0,82.0,3028.0,764.0,1609.0,0.47,209.0,596.0,0.35,555.0,1013.0,0.55,0.54,362.0,448.0,0.81,89.0,322.0,411.0,448.0,121.0,58.0,224.0,226.0,2099.0,20.8,0.58,3.1,11.7,7.4,24.1,1.9,1.6,11.0,28.4,5.9,1.7,7.6,0.12,3.8,-0.8,2.9,3.7,32.0,50.0,25434262.0,False,Not_injured,0.0,Low Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Brandon Goodwin,Guard,23.0,DEN,1610612743,0.0,16.0,0.0,57.0,6.0,23.0,0.26,2.0,6.0,0.33,4.0,17.0,0.24,0.3,9.0,11.0,0.82,1.0,2.0,3.0,14.0,0.0,0.0,3.0,7.0,23.0,8.3,0.41,1.9,3.8,2.8,32.1,0.0,0.0,9.7,23.1,0.0,0.0,0.0,0.02,-4.7,-4.8,-9.5,-0.1,54.0,28.0,56845.0,False,Not_injured,0.0,Low Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Brandon Ingram,Forward,21.0,LAL,1610612747,2.0,52.0,52.0,1761.0,362.0,729.0,0.5,31.0,94.0,0.33,331.0,635.0,0.52,0.52,195.0,289.0,0.67,41.0,226.0,267.0,154.0,28.0,31.0,129.0,149.0,950.0,13.4,0.56,2.5,13.0,7.8,12.9,0.7,1.4,13.1,23.2,0.6,1.4,2.0,0.06,-1.3,-0.7,-2.0,0.0,37.0,45.0,5757120.0,True,2018-12-07 - 2018-12-21; 2019-03-09 - 2021-04-09,776.0,High Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
2018-19,Brandon Knight,Guard,27.0,HOU,1610612745,7.0,12.0,0.0,118.0,11.0,47.0,0.23,5.0,32.0,0.16,6.0,15.0,0.4,0.29,9.0,11.0,0.82,1.0,8.0,9.0,9.0,2.0,0.0,5.0,14.0,36.0,8.9,0.48,1.4,7.7,4.4,14.4,1.4,0.2,9.8,18.1,-0.1,0.0,0.0,-0.0,-3.5,-2.0,-5.4,-0.6,19.0,63.0,14631250.0,True,2018-10-17 - 2018-12-13; 2018-12-29 - 2018-12-31; 2019-01-16 - 2019-01-21,64.0,High Risk,101869000.0,123733000.0,129817000.0,3382000.0,8641000.0,5337000.0,4449000.0,118724178.12
